orbit_type,target_norad,target_name,mean_motion_rev_day,inclination_deg,eccentricity,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_fit_p_value,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,runtime_us,runtime_ms
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,1,3,1,9.04396e-06,9.04396e-06,1,2.91867e+07,39471,1,1,1,22031,22.031
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,2,3,1,9.04396e-06,9.04396e-06,1,2.91867e+07,39471,1,1,1,843,0.843
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,3,3,1,9.04396e-06,9.04396e-06,1,2.91867e+07,39471,1,1,1,825,0.825
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,4,3,1,9.04396e-06,9.04396e-06,1,2.91867e+07,39471,1,1,1,984,0.984
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,5,3,1,9.04396e-06,9.04396e-06,1,2.91867e+07,39471,1,1,1,973,0.973
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,1,3,1,1.13015,1.13015,0.980194,11625.3,39471,1,1,1,807,0.807
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,2,3,1,3.60676,3.60676,0.729716,11712.2,39471,1,1,1,823,0.823
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,3,3,1,2.77206,2.77206,0.836864,11802.3,39471,1,1,1,992,0.992
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,4,3,1,5.61378,5.61378,0.467813,11882.6,39471,1,1,1,807,0.807
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,5,3,1,2.05125,2.05125,0.914926,11656.4,39471,1,1,1,805,0.805
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,1,3,1,6.57113,6.57113,0.362333,2907.76,39471,1,1,1,833,0.833
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,2,3,1,8.27835,8.27835,0.218412,2745.91,39471,1,1,1,839,0.839
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,3,3,1,4.53742,4.53742,0.604353,2929.57,39471,1,1,1,827,0.827
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,4,3,1,5.17716,5.17716,0.5213,2815.66,39471,1,1,1,928,0.928
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,5,3,1,7.65148,7.65148,0.264764,3046.02,39471,1,1,1,1045,1.045
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,1,3,1,5.85385,5.85385,0.43976,452.97,39471,1,1,1,1175,1.175
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,2,3,1,2.24068,2.24068,0.896287,414.84,39471,1,1,1,1110,1.11
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,3,3,1,13.007,13.007,0.0429254,367.852,39471,1,1,1,908,0.908
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,4,3,1,2.79979,2.79979,0.833523,469.302,39471,1,1,1,996,0.996
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,5,3,1,5.61096,5.61096,0.468148,404.22,39471,1,1,1,934,0.934
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,1,3,1,7.65745,7.65745,0.264289,101.428,39471,1,1,1,1009,1.009
