target_norad,catalog_mode,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
17070,prefix,250,0,1,3,1,0,0,2.84174e+08,17070,1,1,1,1,1
17070,prefix,250,0,2,3,1,0,0,2.84174e+08,17070,1,1,1,1,1
17070,prefix,250,0,3,3,1,0,0,2.84174e+08,17070,1,1,1,1,1
17070,prefix,250,0,4,3,1,0,0,2.84174e+08,17070,1,1,1,1,1
17070,prefix,250,0,5,3,1,0,0,2.84174e+08,17070,1,1,1,1,1
17070,prefix,250,0.05,1,3,1,4.33226,4.33226,114569,17070,1,1,1,1,1
17070,prefix,250,0.05,2,3,1,2.20783,2.20783,113179,17070,1,1,1,1,1
17070,prefix,250,0.05,3,3,1,12.6721,12.6721,111555,17070,1,1,1,1,1
17070,prefix,250,0.05,4,3,1,3.99513,3.99513,113511,17070,1,1,1,1,1
17070,prefix,250,0.05,5,3,1,4.47925,4.47925,113811,17070,1,1,1,1,1
17070,prefix,250,0.1,1,3,1,2.3997,2.3997,28197.3,17070,1,1,1,1,1
17070,prefix,250,0.1,2,3,1,6.52861,6.52861,28276.6,17070,1,1,1,1,1
17070,prefix,250,0.1,3,3,1,7.29924,7.29924,27865.4,17070,1,1,1,1,1
17070,prefix,250,0.1,4,3,1,6.46931,6.46931,28131.8,17070,1,1,1,1,1
17070,prefix,250,0.1,5,3,1,3.58246,3.58246,28503.8,17070,1,1,1,1,1
17070,prefix,250,0.25,1,3,1,4.49981,4.49981,4508.14,17070,1,1,1,1,1
17070,prefix,250,0.25,2,3,1,3.66027,3.66027,4659.52,17070,1,1,1,1,1
17070,prefix,250,0.25,3,3,1,4.71574,4.71574,4645.29,17070,1,1,1,1,1
17070,prefix,250,0.25,4,3,1,5.85579,5.85579,4688.84,17070,1,1,1,1,1
17070,prefix,250,0.25,5,3,1,7.75393,7.75393,4459.84,17070,1,1,1,1,1
17070,prefix,250,0.5,1,3,1,0.97207,0.97207,1103.25,17070,1,1,1,1,1
17070,prefix,250,0.5,2,3,1,17.8034,17.8034,995.579,17070,1,1,1,1,1
17070,prefix,250,0.5,3,3,1,1.56124,1.56124,1192.34,17070,1,1,1,1,1
17070,prefix,250,0.5,4,3,1,5.72075,5.72075,1144.95,17070,1,1,1,1,1
17070,prefix,250,0.5,5,3,1,3.8196,3.8196,1099.56,17070,1,1,1,1,1
17070,prefix,250,1,1,3,1,8.53336,8.53336,314.93,17070,1,1,1,1,1
17070,prefix,250,1,2,3,1,4.46993,4.46993,286.876,17070,1,1,1,1,1
17070,prefix,250,1,3,3,1,2.37449,2.37449,285.546,17070,1,1,1,1,1
17070,prefix,250,1,4,3,1,2.56443,2.56443,270.847,17070,1,1,1,1,1
17070,prefix,250,1,5,3,1,15.8915,15.8915,239.71,17070,1,1,1,1,1
17070,prefix,250,2,1,3,1,3.26919,3.26919,77.7815,17070,1,1,1,1,1
17070,prefix,250,2,2,3,1,11.4596,11.4596,81.3327,17070,1,1,1,1,1
17070,prefix,250,2,3,3,1,4.44746,4.44746,68.0584,17070,1,1,1,1,1
17070,prefix,250,2,4,3,1,5.69306,5.69306,80.0479,17070,1,1,1,1,1
17070,prefix,250,2,5,3,1,3.73576,3.73576,59.1975,17070,1,1,1,1,1
17070,prefix,250,5,1,3,1,11.2109,11.2109,13.3787,17070,1,1,1,1,1
17070,prefix,250,5,2,3,1,9.46381,9.46381,6.85937,17070,1,1,1,1,1
17070,prefix,250,5,3,3,1,5.15234,5.15234,14.5936,17070,1,1,1,1,1
17070,prefix,250,5,4,3,1,3.56832,3.56832,5.46861,17070,1,1,1,1,1
17070,prefix,250,5,5,3,3,9.36267,3.28828,1.49352,33823,0,1,1,0,1
17070,prefix,250,10,1,3,4,6.3441,5.33131,0.0895187,35459,0,0,1,0,1
17070,prefix,250,10,2,3,1,8.24499,8.24499,0.768434,17070,1,1,1,1,1
17070,prefix,250,10,3,3,1,7.5895,7.5895,2.53279,17070,1,1,1,1,1
17070,prefix,250,10,4,3,5,7.93077,2.18416,1.70091,35459,0,0,1,0,1
17070,prefix,250,10,5,3,1,1.33435,1.33435,4.15003,17070,1,1,1,1,1
17070,prefix,250,15,1,3,3,6.59874,6.41385,0.0187803,34955,0,1,1,0,1
17070,prefix,250,15,2,3,9,14.472,7.27772,0.852903,34433,0,0,1,0,1
17070,prefix,250,15,3,3,3,2.99698,2.00776,0.681347,34955,0,1,1,0,1
17070,prefix,250,15,4,3,1,4.42204,4.42204,0.494589,17070,1,1,1,1,1
17070,prefix,250,15,5,3,4,7.61857,3.88999,1.53504,33823,0,0,1,0,1
17070,prefix,250,20,1,3,4,8.70305,7.3278,1.00442,33823,0,0,1,0,1
17070,prefix,250,20,2,3,3,13.4003,11.4049,0.500892,34955,0,1,1,0,1
17070,prefix,250,20,3,3,1,4.28008,4.28008,0.790591,17070,1,1,1,1,1
17070,prefix,250,20,4,3,9,8.66999,6.27885,0.940961,57492,0,0,1,0,1
17070,prefix,250,20,5,3,5,7.61484,3.73476,1.66601,34121,0,0,1,0,1
17070,hard,250,0,1,3,1,0,0,3.86931e+06,17070,1,1,1,1,1
17070,hard,250,0,2,3,1,0,0,3.86931e+06,17070,1,1,1,1,1
17070,hard,250,0,3,3,1,0,0,3.86931e+06,17070,1,1,1,1,1
17070,hard,250,0,4,3,1,0,0,3.86931e+06,17070,1,1,1,1,1
17070,hard,250,0,5,3,1,0,0,3.86931e+06,17070,1,1,1,1,1
17070,hard,250,0.05,1,3,1,10.4467,10.4467,1701.7,17070,1,1,1,1,1
17070,hard,250,0.05,2,3,1,3.96068,3.96068,1425.72,17070,1,1,1,1,1
17070,hard,250,0.05,3,3,1,8.99351,8.99351,1772.54,17070,1,1,1,1,1
17070,hard,250,0.05,4,3,1,2.08449,2.08449,1551.88,17070,1,1,1,1,1
17070,hard,250,0.05,5,3,1,4.36575,4.36575,1649.4,17070,1,1,1,1,1
17070,hard,250,0.1,1,3,1,4.07721,4.07721,422.341,17070,1,1,1,1,1
17070,hard,250,0.1,2,3,1,10.5005,10.5005,491.02,17070,1,1,1,1,1
17070,hard,250,0.1,3,3,1,7.50859,7.50859,432.817,17070,1,1,1,1,1
17070,hard,250,0.1,4,3,1,6.24993,6.24993,387.085,17070,1,1,1,1,1
17070,hard,250,0.1,5,3,1,4.60504,4.60504,367.705,17070,1,1,1,1,1
17070,hard,250,0.25,1,3,1,4.42516,4.42516,40.9791,17070,1,1,1,1,1
17070,hard,250,0.25,2,3,1,2.60614,2.60614,80.1389,17070,1,1,1,1,1
17070,hard,250,0.25,3,3,1,3.01893,3.01893,71.8642,17070,1,1,1,1,1
17070,hard,250,0.25,4,3,1,11.0307,11.0307,48.9937,17070,1,1,1,1,1
17070,hard,250,0.25,5,3,1,5.02872,5.02872,47.0423,17070,1,1,1,1,1
17070,hard,250,0.5,1,3,1,7.44156,7.44156,6.22554,17070,1,1,1,1,1
17070,hard,250,0.5,2,3,1,3.09337,3.09337,10.2533,17070,1,1,1,1,1
17070,hard,250,0.5,3,3,1,14.6868,14.6868,5.45915,17070,1,1,1,1,1
17070,hard,250,0.5,4,3,1,9.86874,9.86874,1.88344,17070,1,1,1,1,1
17070,hard,250,0.5,5,3,1,1.9442,1.9442,8.92816,17070,1,1,1,1,1
17070,hard,250,1,1,3,1,8.44248,8.44248,2.77636,17070,1,1,1,1,1
17070,hard,250,1,2,3,1,7.55257,7.55257,9.67857,17070,1,1,1,1,1
17070,hard,250,1,3,3,1,2.00051,2.00051,8.88572,17070,1,1,1,1,1
17070,hard,250,1,4,3,1,2.67231,2.67231,0.506575,17070,1,1,1,1,1
17070,hard,250,1,5,3,2,2.72546,1.88062,0.844837,62256,0,1,1,0,1
17070,hard,250,2,1,3,1,3.16288,3.16288,0.449647,17070,1,1,1,1,1
17070,hard,250,2,2,3,2,11.6184,10.6225,0.995886,30845,0,1,1,0,1
17070,hard,250,2,3,3,7,14.2006,9.68312,1.22007,31736,0,0,1,0,1
17070,hard,250,2,4,3,4,7.27044,2.26358,3.09876,30845,0,0,1,0,1
17070,hard,250,2,5,3,1,4.23493,4.23493,2.10792,17070,1,1,1,1,1
17070,hard,250,5,1,3,11,4.45195,2.43407,0.427532,43001,0,0,0,0,1
17070,hard,250,5,2,3,9,5.75249,4.51258,0.40836,57387,0,0,1,0,1
17070,hard,250,5,3,3,5,2.59272,1.94213,0.279259,31736,0,0,1,0,1
17070,hard,250,5,4,3,4,14.6021,14.2827,0.020423,65981,0,0,1,0,1
17070,hard,250,5,5,3,1,3.33658,3.33658,0.0369962,17070,1,1,1,1,1
17070,hard,250,10,1,3,9,4.53745,4.17951,0.0898917,68683,0,0,1,0,1
17070,hard,250,10,2,3,10,2.05293,1.65159,0.0505615,32419,0,0,1,0,1
17070,hard,250,10,3,3,9,8.08548,7.3902,0.169308,46451,0,0,1,0,1
17070,hard,250,10,4,3,42,12.2581,8.0529,0.874904,35459,0,0,0,0,1
17070,hard,250,10,5,3,91,7.03053,2.83111,0.114676,34146,0,0,0,0,1
17070,hard,250,15,1,3,2,9.01105,8.89764,0.113414,65981,0,1,1,0,1
17070,hard,250,15,2,3,14,3.36348,2.62359,0.111871,47260,0,0,0,0,1
17070,hard,250,15,3,3,171,9.0352,4.75868,0.133525,57492,0,0,0,0,1
17070,hard,250,15,4,3,36,18.4012,10.8537,0.344005,35961,0,0,0,0,1
17070,hard,250,15,5,3,64,4.72265,1.83289,0.0497318,35459,0,0,0,0,1
17070,hard,250,20,1,3,169,5.30917,2.82967,0.0525545,35680,0,0,0,0,1
17070,hard,250,20,2,3,24,5.03207,3.40318,0.0148587,30852,0,0,0,0,1
17070,hard,250,20,3,3,96,1.10611,0.110025,0.0308119,49303,0,0,0,0,1
17070,hard,250,20,4,3,76,7.28537,3.46316,0.0106065,36112,0,0,0,0,1
17070,hard,250,20,5,3,25,3.97824,3.294,0.101904,34955,0,0,0,0,1
30232,prefix,250,0,1,3,1,0,0,4.49356e+08,30232,1,1,1,1,1
30232,prefix,250,0,2,3,1,0,0,4.49356e+08,30232,1,1,1,1,1
30232,prefix,250,0,3,3,1,0,0,4.49356e+08,30232,1,1,1,1,1
30232,prefix,250,0,4,3,1,0,0,4.49356e+08,30232,1,1,1,1,1
