sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,1,0,0,6.4105e+09,41340,1,1,1,1,1
0,2,1,0,0,6.4105e+09,41340,1,1,1,1,1
0,3,1,0,0,6.4105e+09,41340,1,1,1,1,1
0,4,1,0,0,6.4105e+09,41340,1,1,1,1,1
0,5,1,0,0,6.4105e+09,41340,1,1,1,1,1
0,6,1,0,0,6.4105e+09,41340,1,1,1,1,1
0,7,1,0,0,6.4105e+09,41340,1,1,1,1,1
0,8,1,0,0,6.4105e+09,41340,1,1,1,1,1
0,9,1,0,0,6.4105e+09,41340,1,1,1,1,1
0,10,1,0,0,6.4105e+09,41340,1,1,1,1,1
0.05,1,1,27.4391,27.4391,2.5623e+06,41340,1,1,1,1,1
0.05,2,1,19.8696,19.8696,2.56398e+06,41340,1,1,1,1,1
0.05,3,1,22.5464,22.5464,2.55916e+06,41340,1,1,1,1,1
0.05,4,1,28.9918,28.9918,2.56692e+06,41340,1,1,1,1,1
0.05,5,1,16.0139,16.0139,2.56898e+06,41340,1,1,1,1,1
0.05,6,1,28.2025,28.2025,2.56663e+06,41340,1,1,1,1,1
0.05,7,1,36.6141,36.6141,2.56355e+06,41340,1,1,1,1,1
0.05,8,1,18.5726,18.5726,2.56352e+06,41340,1,1,1,1,1
0.05,9,1,23.5545,23.5545,2.55984e+06,41340,1,1,1,1,1
0.05,10,1,15.6615,15.6615,2.55526e+06,41340,1,1,1,1,1
0.1,1,1,23.5765,23.5765,641540,41340,1,1,1,1,1
0.1,2,1,12.0226,12.0226,641308,41340,1,1,1,1,1
0.1,3,1,24.3739,24.3739,642414,41340,1,1,1,1,1
0.1,4,1,26.7478,26.7478,643498,41340,1,1,1,1,1
0.1,5,1,18,18,639172,41340,1,1,1,1,1
0.1,6,1,15.3645,15.3645,641368,41340,1,1,1,1,1
0.1,7,1,30.5161,30.5161,643501,41340,1,1,1,1,1
0.1,8,1,17.3305,17.3305,644432,41340,1,1,1,1,1
0.1,9,1,19.2032,19.2032,641086,41340,1,1,1,1,1
0.1,10,1,28.1668,28.1668,640063,41340,1,1,1,1,1
0.2,1,1,27.6913,27.6913,160427,41340,1,1,1,1,1
0.2,2,1,25.2795,25.2795,160895,41340,1,1,1,1,1
0.2,3,1,14.2738,14.2738,160632,41340,1,1,1,1,1
0.2,4,1,24.1172,24.1172,158471,41340,1,1,1,1,1
0.2,5,1,33.7929,33.7929,160912,41340,1,1,1,1,1
0.2,6,1,19.1945,19.1945,160556,41340,1,1,1,1,1
0.2,7,1,12.1935,12.1935,161128,41340,1,1,1,1,1
0.2,8,1,33.0047,33.0047,161040,41340,1,1,1,1,1
0.2,9,1,20.4731,20.4731,160957,41340,1,1,1,1,1
0.2,10,1,30.3533,30.3533,161522,41340,1,1,1,1,1
0.5,1,1,14.4302,14.4302,26062,41340,1,1,1,1,1
0.5,2,1,34.5463,34.5463,26276.7,41340,1,1,1,1,1
0.5,3,1,26.0907,26.0907,25177,41340,1,1,1,1,1
0.5,4,1,17.4554,17.4554,25592.8,41340,1,1,1,1,1
0.5,5,1,34.9229,34.9229,25567.8,41340,1,1,1,1,1
0.5,6,1,14.5511,14.5511,25705.7,41340,1,1,1,1,1
0.5,7,1,16.5383,16.5383,26022.3,41340,1,1,1,1,1
0.5,8,1,12.2931,12.2931,25888.9,41340,1,1,1,1,1
0.5,9,1,31.7715,31.7715,25482,41340,1,1,1,1,1
0.5,10,1,19.173,19.173,25872.1,41340,1,1,1,1,1
1,1,1,25.6162,25.6162,6800.18,41340,1,1,1,1,1
1,2,1,24.0642,24.0642,6482.37,41340,1,1,1,1,1
1,3,1,28.4265,28.4265,6753.27,41340,1,1,1,1,1
1,4,1,30.2467,30.2467,6319.63,41340,1,1,1,1,1
1,5,1,26.7677,26.7677,6285.38,41340,1,1,1,1,1
1,6,1,21.5599,21.5599,6692.16,41340,1,1,1,1,1
1,7,1,11.5651,11.5651,6214.92,41340,1,1,1,1,1
1,8,1,18.7469,18.7469,6548.92,41340,1,1,1,1,1
1,9,1,31.892,31.892,6569.73,41340,1,1,1,1,1
1,10,1,29.2998,29.2998,6565.56,41340,1,1,1,1,1
2,1,1,15.6137,15.6137,1693.24,41340,1,1,1,1,1
2,2,1,12.8345,12.8345,1586.71,41340,1,1,1,1,1
2,3,1,23.3647,23.3647,1624.08,41340,1,1,1,1,1
2,4,1,26.606,26.606,1460.16,41340,1,1,1,1,1
2,5,1,16.3106,16.3106,1651.9,41340,1,1,1,1,1
2,6,1,31.0244,31.0244,1653.57,41340,1,1,1,1,1
2,7,1,10.1239,10.1239,1602.86,41340,1,1,1,1,1
2,8,1,22.8125,22.8125,1515.52,41340,1,1,1,1,1
2,9,1,27.4012,27.4012,1687.47,41340,1,1,1,1,1
2,10,1,16.7705,16.7705,1689.5,41340,1,1,1,1,1
