sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,1,3.2802e-06,3.2802e-06,1.49454e+08,17070,1,1,1,1,1
0,2,1,3.2802e-06,3.2802e-06,1.49454e+08,17070,1,1,1,1,1
0,3,1,3.2802e-06,3.2802e-06,1.49454e+08,17070,1,1,1,1,1
0.1,1,1,0.480144,0.480144,14819.8,17070,1,1,1,1,1
0.1,2,1,0.660597,0.660597,14954.8,17070,1,1,1,1,1
0.1,3,1,5.23214,5.23214,15124.6,17070,1,1,1,1,1
0.5,1,1,7.18026,7.18026,568.428,17070,1,1,1,1,1
0.5,2,1,2.90875,2.90875,605.247,17070,1,1,1,1,1
0.5,3,1,2.84016,2.84016,551.101,17070,1,1,1,1,1
1,1,1,1.69061,1.69061,147.808,17070,1,1,1,1,1
1,2,1,2.75304,2.75304,149.373,17070,1,1,1,1,1
1,3,1,10.4363,10.4363,191.311,17070,1,1,1,1,1
2,1,1,3.02027,3.02027,29.493,17070,1,1,1,1,1
2,2,1,1.05255,1.05255,28.6727,17070,1,1,1,1,1
2,3,1,4.40156,4.40156,34.6168,17070,1,1,1,1,1
