scenario,target_norad,sigma_deg,trial,catalog_size,observation_count,best_norad,best_chi2,best_fit_p_value,best_catalog_match,target_rank,correct_decision
known_hard,17070,0,1,250,3,17070,0,1,1,1,1
unknown_random,17070,0,1,249,3,34955,2.84174e+08,0,0,-1,1
unknown_hard,17070,0,1,250,3,62256,3.86931e+06,0,0,-1,1
known_hard,17070,0,2,250,3,17070,0,1,1,1,1
unknown_random,17070,0,2,249,3,34955,2.84174e+08,0,0,-1,1
unknown_hard,17070,0,2,250,3,62256,3.86931e+06,0,0,-1,1
known_hard,17070,0,3,250,3,17070,0,1,1,1,1
unknown_random,17070,0,3,249,3,34955,2.84174e+08,0,0,-1,1
unknown_hard,17070,0,3,250,3,62256,3.86931e+06,0,0,-1,1
known_hard,17070,0,4,250,3,17070,0,1,1,1,1
unknown_random,17070,0,4,249,3,34955,2.84174e+08,0,0,-1,1
unknown_hard,17070,0,4,250,3,62256,3.86931e+06,0,0,-1,1
known_hard,17070,0,5,250,3,17070,0,1,1,1,1
unknown_random,17070,0,5,249,3,34955,2.84174e+08,0,0,-1,1
unknown_hard,17070,0,5,250,3,62256,3.86931e+06,0,0,-1,1
known_hard,17070,0.05,1,250,3,17070,6.81342,0.338447,1,1,1
unknown_random,17070,0.05,1,249,3,34955,114480,0,0,-1,1
unknown_hard,17070,0.05,1,250,3,62256,1531,0,0,-1,1
known_hard,17070,0.05,2,250,3,17070,7.732,0.258402,1,1,1
unknown_random,17070,0.05,2,249,3,34955,113697,0,0,-1,1
unknown_hard,17070,0.05,2,250,3,62256,1506.44,2.17389e-322,0,-1,1
known_hard,17070,0.05,3,250,3,17070,1.95079,0.924168,1,1,1
unknown_random,17070,0.05,3,249,3,34955,113800,0,0,-1,1
unknown_hard,17070,0.05,3,250,3,62256,1607.51,0,0,-1,1
known_hard,17070,0.05,4,250,3,17070,2.49127,0.869443,1,1,1
unknown_random,17070,0.05,4,249,3,34955,114215,0,0,-1,1
unknown_hard,17070,0.05,4,250,3,62256,1727.26,0,0,-1,1
known_hard,17070,0.05,5,250,3,17070,6.09646,0.412471,1,1,1
unknown_random,17070,0.05,5,249,3,34955,112439,0,0,-1,1
unknown_hard,17070,0.05,5,250,3,62256,1458.07,6.45432e-312,0,-1,1
known_hard,17070,0.1,1,250,3,17070,5.80409,0.445491,1,1,1
unknown_random,17070,0.1,1,249,3,34955,28579.4,0,0,-1,1
unknown_hard,17070,0.1,1,250,3,62256,358.268,2.5901e-74,0,-1,1
known_hard,17070,0.1,2,250,3,17070,9.30826,0.156969,1,1,1
unknown_random,17070,0.1,2,249,3,34955,28645.4,0,0,-1,1
unknown_hard,17070,0.1,2,250,3,62256,391.309,2.06382e-81,0,-1,1
known_hard,17070,0.1,3,250,3,17070,4.50183,0.609095,1,1,1
unknown_random,17070,0.1,3,249,3,34955,29002.6,0,0,-1,1
unknown_hard,17070,0.1,3,250,3,62256,356.239,7.06268e-74,0,-1,1
known_hard,17070,0.1,4,250,3,17070,9.28855,0.157989,1,1,1
unknown_random,17070,0.1,4,249,3,34955,28549,0,0,-1,1
unknown_hard,17070,0.1,4,250,3,62256,440.388,5.74832e-92,0,-1,1
known_hard,17070,0.1,5,250,3,17070,7.59917,0.268964,1,1,1
unknown_random,17070,0.1,5,249,3,34955,28502.8,0,0,-1,1
unknown_hard,17070,0.1,5,250,3,62256,412.759,5.04818e-86,0,-1,1
known_hard,17070,0.25,1,250,3,17070,8.67136,0.192921,1,1,1
unknown_random,17070,0.25,1,249,3,34955,4526.84,0,0,-1,1
unknown_hard,17070,0.25,1,250,3,62256,76.2973,2.07464e-14,0,-1,1
known_hard,17070,0.25,2,250,3,17070,2.35747,0.884066,1,1,1
unknown_random,17070,0.25,2,249,3,34955,4708.07,0,0,-1,1
unknown_hard,17070,0.25,2,250,3,62256,60.5951,3.40702e-11,0,-1,1
known_hard,17070,0.25,3,250,3,17070,6.24902,0.39588,1,1,1
unknown_random,17070,0.25,3,249,3,34955,4568.53,0,0,-1,1
unknown_hard,17070,0.25,3,250,3,62256,87.535,9.84302e-17,0,-1,1
known_hard,17070,0.25,4,250,3,17070,6.43541,0.376221,1,1,1
unknown_random,17070,0.25,4,249,3,34955,4454.01,0,0,-1,1
unknown_hard,17070,0.25,4,250,3,62256,67.9723,1.06441e-12,0,-1,1
known_hard,17070,0.25,5,250,3,17070,10.1011,0.12046,1,1,1
unknown_random,17070,0.25,5,249,3,34955,4484.27,0,0,-1,1
unknown_hard,17070,0.25,5,250,3,62256,70.5583,3.14101e-13,0,-1,1
known_hard,17070,0.5,1,250,3,62256,7.63174,0.266343,1,2,1
unknown_random,17070,0.5,1,249,3,34955,1096.88,9.88583e-234,0,-1,1
unknown_hard,17070,0.5,1,250,3,62256,14.0041,0.0295904,1,-1,0
known_hard,17070,0.5,2,250,3,17070,2.4341,0.875769,1,1,1
unknown_random,17070,0.5,2,249,3,34955,1099.3,2.9581e-234,0,-1,1
unknown_hard,17070,0.5,2,250,3,62256,27.3139,0.000126453,0,-1,1
known_hard,17070,0.5,3,250,3,17070,8.66441,0.19335,1,1,1
unknown_random,17070,0.5,3,249,3,34955,1089.09,4.7749e-232,0,-1,1
unknown_hard,17070,0.5,3,250,3,62256,27.2199,0.000131697,0,-1,1
known_hard,17070,0.5,4,250,3,17070,13.6594,0.0336805,1,1,1
unknown_random,17070,0.5,4,249,3,34955,1088.57,6.18476e-232,0,-1,1
unknown_hard,17070,0.5,4,250,3,62256,18.5806,0.00493387,1,-1,0
known_hard,17070,0.5,5,250,3,17070,6.87007,0.33303,1,1,1
unknown_random,17070,0.5,5,249,3,34955,1099.24,3.04918e-234,0,-1,1
unknown_hard,17070,0.5,5,250,3,62256,19.8988,0.00288667,1,-1,0
known_hard,17070,1,1,250,3,62256,12.2635,0.0563421,1,3,1
unknown_random,17070,1,1,249,3,34955,257.578,9.8409e-53,0,-1,1
unknown_hard,17070,1,1,250,3,62258,11.2599,0.0806694,1,-1,0
known_hard,17070,1,2,250,3,17070,11.0815,0.0858895,1,1,1
unknown_random,17070,1,2,249,3,34955,320.667,3.03674e-66,0,-1,1
unknown_hard,17070,1,2,250,3,62256,5.93068,0.431,1,-1,0
known_hard,17070,1,3,250,3,17070,3.22655,0.779923,1,1,1
unknown_random,17070,1,3,249,3,34955,285.373,1.11127e-58,0,-1,1
unknown_hard,17070,1,3,250,3,30845,5.99481,0.423772,1,-1,0
known_hard,17070,1,4,250,3,17070,15.365,0.0176004,1,1,1
unknown_random,17070,1,4,249,3,34955,287.537,3.82433e-59,0,-1,1
unknown_hard,17070,1,4,250,3,65981,12.023,0.0614573,1,-1,0
known_hard,17070,1,5,250,3,17070,2.85946,0.826268,1,1,1
unknown_random,17070,1,5,249,3,34955,249.275,5.85886e-51,0,-1,1
unknown_hard,17070,1,5,250,3,62256,6.55862,0.363598,1,-1,0
known_hard,17070,2,1,250,3,17070,9.51438,0.146649,1,1,1
unknown_random,17070,2,1,249,3,33823,70.0606,3.97357e-13,0,-1,1
unknown_hard,17070,2,1,250,3,65981,3.84834,0.697191,1,-1,0
known_hard,17070,2,2,250,3,31736,2.5833,0.859031,1,2,1
unknown_random,17070,2,2,249,3,34955,84.0175,5.27407e-16,0,-1,1
unknown_hard,17070,2,2,250,3,62256,3.93085,0.686033,1,-1,0
known_hard,17070,2,3,250,3,62258,5.90863,0.433503,1,4,1
unknown_random,17070,2,3,249,3,33823,114.781,2.02957e-22,0,-1,1
unknown_hard,17070,2,3,250,3,30845,4.99861,0.543991,1,-1,0
known_hard,17070,2,4,250,3,62256,5.07427,0.534324,1,2,1
unknown_random,17070,2,4,249,3,34955,92.6576,8.49329e-18,0,-1,1
unknown_hard,17070,2,4,250,3,62258,5.12062,0.528438,1,-1,0
known_hard,17070,2,5,250,3,17070,1.45221,0.962606,1,1,1
unknown_random,17070,2,5,249,3,33823,63.0676,1.06929e-11,0,-1,1
unknown_hard,17070,2,5,250,3,32419,7.46393,0.280063,1,-1,0
known_hard,17070,5,1,250,3,31736,2.05875,0.914216,1,7,1
unknown_random,17070,5,1,249,3,33823,12.8691,0.0451626,1,-1,0
