catalog_size,repeat,observations,runtime_us,runtime_ms
10,1,10,517,0.517
10,2,10,636,0.636
10,3,10,506,0.506
10,4,10,496,0.496
10,5,10,495,0.495
25,1,10,1497,1.497
25,2,10,1230,1.23
25,3,10,1837,1.837
25,4,10,1563,1.563
25,5,10,1254,1.254
28,1,10,1542,1.542
28,2,10,1472,1.472
28,3,10,2077,2.077
28,4,10,1467,1.467
28,5,10,1742,1.742
