sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,1,0,0,5.60178e+07,82783,1,1,1,1,1
0,2,1,0,0,5.60178e+07,82783,1,1,1,1,1
0,3,1,0,0,5.60178e+07,82783,1,1,1,1,1
0.1,1,1,0.480131,0.480131,5551.06,82783,1,1,1,1,1
0.1,2,1,0.660604,0.660604,5644.93,82783,1,1,1,1,1
0.1,3,1,5.23215,5.23215,5655.77,82783,1,1,1,1,1
0.5,1,1,7.18026,7.18026,197.68,82783,1,1,1,1,1
0.5,2,1,2.90874,2.90874,240.697,82783,1,1,1,1,1
0.5,3,1,2.84015,2.84015,208.128,82783,1,1,1,1,1
1,1,1,1.69061,1.69061,48.548,82783,1,1,1,1,1
1,2,1,2.75304,2.75304,53.2259,82783,1,1,1,1,1
1,3,1,10.4363,10.4363,64.6317,82783,1,1,1,1,1
2,1,1,3.02027,3.02027,8.22793,82783,1,1,1,1,1
2,2,1,1.05255,1.05255,9.54424,82783,1,1,1,1,1
2,3,1,4.40156,4.40156,10.696,82783,1,1,1,1,1
