catalog_size,repeat,observations,runtime_us,runtime_ms
10,1,10,501,0.501
10,2,10,798,0.798
10,3,10,523,0.523
10,4,10,513,0.513
10,5,10,501,0.501
25,1,10,2271,2.271
25,2,10,1277,1.277
25,3,10,1457,1.457
25,4,10,1285,1.285
25,5,10,1732,1.732
28,1,10,1463,1.463
28,2,10,1743,1.743
28,3,10,1929,1.929
28,4,10,1470,1.47
28,5,10,1586,1.586
