sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,1,0,0,5.40893e+08,68917,1,1,1,1,1
0,2,1,0,0,5.40893e+08,68917,1,1,1,1,1
0,3,1,0,0,5.40893e+08,68917,1,1,1,1,1
0.1,1,1,0.480131,0.480131,54306.3,68917,1,1,1,1,1
0.1,2,1,0.660604,0.660604,54062.2,68917,1,1,1,1,1
0.1,3,1,5.23215,5.23215,53705.7,68917,1,1,1,1,1
0.5,1,1,7.18026,7.18026,2240.74,68917,1,1,1,1,1
0.5,2,1,2.90874,2.90874,2134.21,68917,1,1,1,1,1
0.5,3,1,2.84015,2.84015,2236.77,68917,1,1,1,1,1
1,1,1,1.69061,1.69061,547.104,68917,1,1,1,1,1
1,2,1,2.75304,2.75304,536.46,68917,1,1,1,1,1
1,3,1,10.4363,10.4363,462.119,68917,1,1,1,1,1
2,1,1,3.02027,3.02027,147.194,68917,1,1,1,1,1
2,2,1,1.05255,1.05255,153.245,68917,1,1,1,1,1
2,3,1,4.40156,4.40156,145.687,68917,1,1,1,1,1
