sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,1,8.52095e-06,8.52095e-06,7.34447e+08,36519,1,1,1,1,1
0,2,1,8.52095e-06,8.52095e-06,7.34447e+08,36519,1,1,1,1,1
0,3,1,8.52095e-06,8.52095e-06,7.34447e+08,36519,1,1,1,1,1
0.1,1,1,0.480107,0.480107,73454.8,36519,1,1,1,1,1
0.1,2,1,0.660598,0.660598,73136,36519,1,1,1,1,1
0.1,3,1,5.23207,5.23207,73764.6,36519,1,1,1,1,1
0.5,1,1,7.18028,7.18028,3001.46,36519,1,1,1,1,1
0.5,2,1,2.90873,2.90873,2858.53,36519,1,1,1,1,1
0.5,3,1,2.84013,2.84013,2933.86,36519,1,1,1,1,1
1,1,1,1.69061,1.69061,785.064,36519,1,1,1,1,1
1,2,1,2.75303,2.75303,768.891,36519,1,1,1,1,1
1,3,1,10.4363,10.4363,816.648,36519,1,1,1,1,1
2,1,1,3.02027,3.02027,210.162,36519,1,1,1,1,1
2,2,1,1.05255,1.05255,185.429,36519,1,1,1,1,1
2,3,1,4.40157,4.40157,189.535,36519,1,1,1,1,1
