orbit_type,target_norad,target_name,mean_motion_rev_day,inclination_deg,eccentricity,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_fit_p_value,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,runtime_us,runtime_ms
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,1,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,23785,23.785
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,2,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,1285,1.285
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,3,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,2004,2.004
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,4,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,1767,1.767
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,5,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,3083,3.083
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,1,10,1,40.3882,40.3882,0.365204,14241.2,39471,1,1,1,1581,1.581
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,2,10,1,41.4068,41.4068,0.324305,13700,39471,1,1,1,1409,1.409
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,3,10,1,25.3586,25.3586,0.942125,13902.2,39471,1,1,1,2149,2.149
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,4,10,1,35.1719,35.1719,0.600938,13855,39471,1,1,1,3439,3.439
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,5,10,1,20.2328,20.2328,0.991949,14203.3,39471,1,1,1,1453,1.453
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,1,10,1,26.8311,26.8311,0.912332,3524.1,39471,1,1,1,1481,1.481
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,2,10,1,34.4517,34.4517,0.634295,3558.81,39471,1,1,1,1472,1.472
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,3,10,1,49.7343,49.7343,0.0963123,3567.79,39471,1,1,1,3016,3.016
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,4,10,1,22.6219,22.6219,0.977339,3501.12,39471,1,1,1,1589,1.589
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,5,10,1,51.6069,51.6069,0.0693947,3599.43,39471,1,1,1,1513,1.513
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,1,10,1,42.3085,42.3085,0.290284,484.511,39471,1,1,1,1498,1.498
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,2,10,1,95.7679,95.7679,6.88967e-07,473.834,39471,1,1,1,3517,3.517
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,3,10,1,27.6465,27.6465,0.892195,545.277,39471,1,1,1,3476,3.476
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,4,10,1,39.9696,39.9696,0.382704,516.566,39471,1,1,1,1560,1.56
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.25,5,10,1,20.9832,20.9832,0.988576,623.77,39471,1,1,1,1490,1.49
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,1,10,1,33.7176,33.7176,0.667741,127.679,39471,1,1,1,2603,2.603
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,2,10,1,48.606,48.606,0.116276,176.035,39471,1,1,1,42844,42.844
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,3,10,1,17.6098,17.6098,0.998086,138.307,39471,1,1,1,2010,2.01
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,4,10,1,56.705,56.705,0.025996,134.086,39471,1,1,1,1608,1.608
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.5,5,10,1,27.3555,27.3555,0.899686,135.611,39471,1,1,1,1851,1.851
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,1,10,1,37.9265,37.9265,0.472835,21.5053,39471,1,1,1,2270,2.27
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,2,10,1,22.1686,22.1686,0.981057,28.9242,39471,1,1,1,1527,1.527
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,3,10,1,49.5577,49.5577,0.099241,36.3101,39471,1,1,1,1289,1.289
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,4,10,1,19.9561,19.9561,0.992968,44.2011,39471,1,1,1,1429,1.429
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1,5,10,1,33.0661,33.0661,0.696747,34.4991,39471,1,1,1,2287,2.287
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1.5,1,10,1,43.0794,43.0794,0.262944,8.52332,39471,1,1,1,3056,3.056
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,1.5,2,10,1,32.284,32.284,0.73046,8.6888,39471,1,1,1,1374,1.374
