scenario,target_norad,sigma_deg,trial,catalog_size,observation_count,best_norad,best_chi2,best_fit_p_value,best_catalog_match,target_rank,correct_decision
unknown_hard,17070,0.04,5,250,10,62256,7444.04,0,0,-1,1
known_hard,17070,0.05,1,250,10,17070,36.9181,0.519363,1,1,1
unknown_random,17070,0.05,1,249,10,34955,387176,0,0,-1,1
unknown_hard,17070,0.05,1,250,10,62256,4754.16,0,0,-1,1
known_hard,17070,0.05,2,250,10,17070,44.2982,0.223158,1,1,1
unknown_random,17070,0.05,2,249,10,34955,387106,0,0,-1,1
unknown_hard,17070,0.05,2,250,10,62256,5078.46,0,0,-1,1
known_hard,17070,0.05,3,250,10,17070,41.8477,0.307401,1,1,1
unknown_random,17070,0.05,3,249,10,34955,387964,0,0,-1,1
unknown_hard,17070,0.05,3,250,10,62256,4978.25,0,0,-1,1
known_hard,17070,0.05,4,250,10,17070,32.9212,0.703093,1,1,1
unknown_random,17070,0.05,4,249,10,34955,388247,0,0,-1,1
unknown_hard,17070,0.05,4,250,10,62256,4772.07,0,0,-1,1
known_hard,17070,0.05,5,250,10,17070,23.6563,0.966788,1,1,1
unknown_random,17070,0.05,5,249,10,34955,387495,0,0,-1,1
unknown_hard,17070,0.05,5,250,10,62256,5004.78,0,0,-1,1
known_hard,17070,0.06,1,250,10,17070,47.8914,0.130529,1,1,1
unknown_random,17070,0.06,1,249,10,34955,269066,0,0,-1,1
unknown_hard,17070,0.06,1,250,10,62256,3241.61,0,0,-1,1
known_hard,17070,0.06,2,250,10,17070,24.398,0.957242,1,1,1
unknown_random,17070,0.06,2,249,10,34955,270846,0,0,-1,1
unknown_hard,17070,0.06,2,250,10,62256,3227.83,0,0,-1,1
known_hard,17070,0.06,3,250,10,17070,28.273,0.874928,1,1,1
unknown_random,17070,0.06,3,249,10,34955,270290,0,0,-1,1
unknown_hard,17070,0.06,3,250,10,62256,3256.76,0,0,-1,1
known_hard,17070,0.06,4,250,10,17070,34.0353,0.653354,1,1,1
unknown_random,17070,0.06,4,249,10,34955,269700,0,0,-1,1
unknown_hard,17070,0.06,4,250,10,62256,3372.04,0,0,-1,1
known_hard,17070,0.06,5,250,10,17070,22.3543,0.979596,1,1,1
unknown_random,17070,0.06,5,249,10,34955,268160,0,0,-1,1
unknown_hard,17070,0.06,5,250,10,62256,3361.31,0,0,-1,1
known_hard,17070,0.07,1,250,10,17070,51.64,0.068983,1,1,1
unknown_random,17070,0.07,1,249,10,34955,198040,0,0,-1,1
unknown_hard,17070,0.07,1,250,10,62256,2479.1,0,0,-1,1
known_hard,17070,0.07,2,250,10,17070,35.9222,0.565886,1,1,1
unknown_random,17070,0.07,2,249,10,34955,197061,0,0,-1,1
unknown_hard,17070,0.07,2,250,10,62256,2631.91,0,0,-1,1
known_hard,17070,0.07,3,250,10,17070,36.8119,0.524305,1,1,1
unknown_random,17070,0.07,3,249,10,34955,196933,0,0,-1,1
unknown_hard,17070,0.07,3,250,10,62256,2464.7,0,0,-1,1
known_hard,17070,0.07,4,250,10,17070,36.6386,0.532388,1,1,1
unknown_random,17070,0.07,4,249,10,34955,196617,0,0,-1,1
unknown_hard,17070,0.07,4,250,10,62256,2630.93,0,0,-1,1
known_hard,17070,0.07,5,250,10,17070,21.8454,0.983407,1,1,1
unknown_random,17070,0.07,5,249,10,34955,197412,0,0,-1,1
unknown_hard,17070,0.07,5,250,10,62256,2319.21,0,0,-1,1
known_hard,17070,0.08,1,250,10,17070,37.0135,0.514925,1,1,1
unknown_random,17070,0.08,1,249,10,34955,151248,0,0,-1,1
unknown_hard,17070,0.08,1,250,10,62256,1964.63,0,0,-1,1
known_hard,17070,0.08,2,250,10,17070,33.4391,0.680233,1,1,1
unknown_random,17070,0.08,2,249,10,34955,152694,0,0,-1,1
unknown_hard,17070,0.08,2,250,10,62256,1874.23,0,0,-1,1
known_hard,17070,0.08,3,250,10,17070,35.951,0.564538,1,1,1
unknown_random,17070,0.08,3,249,10,34955,150840,0,0,-1,1
unknown_hard,17070,0.08,3,250,10,62256,1963.5,0,0,-1,1
known_hard,17070,0.08,4,250,10,17070,36.8667,0.521754,1,1,1
unknown_random,17070,0.08,4,249,10,34955,150964,0,0,-1,1
unknown_hard,17070,0.08,4,250,10,62256,1840.62,0,0,-1,1
known_hard,17070,0.08,5,250,10,17070,50.4511,0.0851427,1,1,1
unknown_random,17070,0.08,5,249,10,34955,152266,0,0,-1,1
unknown_hard,17070,0.08,5,250,10,62256,1934.14,0,0,-1,1
known_hard,17070,0.09,1,250,10,17070,35.4902,0.586089,1,1,1
unknown_random,17070,0.09,1,249,10,34955,119994,0,0,-1,1
unknown_hard,17070,0.09,1,250,10,62256,1465.42,3.64988e-283,0,-1,1
known_hard,17070,0.09,2,250,10,17070,27.6521,0.892046,1,1,1
unknown_random,17070,0.09,2,249,10,34955,119355,0,0,-1,1
unknown_hard,17070,0.09,2,250,10,62256,1552.99,9.98538e-302,0,-1,1
known_hard,17070,0.09,3,250,10,17070,43.7896,0.239243,1,1,1
unknown_random,17070,0.09,3,249,10,34955,119836,0,0,-1,1
unknown_hard,17070,0.09,3,250,10,62256,1536.69,2.85488e-298,0,-1,1
known_hard,17070,0.09,4,250,10,17070,50.0924,0.0905922,1,1,1
unknown_random,17070,0.09,4,249,10,34955,120377,0,0,-1,1
unknown_hard,17070,0.09,4,250,10,62256,1576.79,8.91011e-307,0,-1,1
known_hard,17070,0.09,5,250,10,17070,49.6544,0.0976284,1,1,1
unknown_random,17070,0.09,5,249,10,34955,119967,0,0,-1,1
unknown_hard,17070,0.09,5,250,10,62256,1524.31,1.20506e-295,0,-1,1
known_hard,17070,0.1,1,250,10,17070,36.962,0.517317,1,1,1
unknown_random,17070,0.1,1,249,10,34955,95745.1,0,0,-1,1
unknown_hard,17070,0.1,1,250,10,62256,1153.19,3.09315e-217,0,-1,1
known_hard,17070,0.1,2,250,10,17070,20.7263,0.989838,1,1,1
unknown_random,17070,0.1,2,249,10,34955,96904.8,0,0,-1,1
unknown_hard,17070,0.1,2,250,10,62256,1157.52,3.79422e-218,0,-1,1
known_hard,17070,0.1,3,250,10,17070,21.1834,0.987508,1,1,1
unknown_random,17070,0.1,3,249,10,34955,97508.1,0,0,-1,1
unknown_hard,17070,0.1,3,250,10,62256,1287.56,1.48662e-245,0,-1,1
known_hard,17070,0.1,4,250,10,17070,25.8218,0.933644,1,1,1
unknown_random,17070,0.1,4,249,10,34955,97576.6,0,0,-1,1
unknown_hard,17070,0.1,4,250,10,62256,1251.09,7.3965e-238,0,-1,1
known_hard,17070,0.1,5,250,10,17070,49.0195,0.108609,1,1,1
unknown_random,17070,0.1,5,249,10,34955,97075.5,0,0,-1,1
unknown_hard,17070,0.1,5,250,10,62256,1131.3,1.24584e-212,0,-1,1
known_hard,17070,0.11,1,250,10,17070,21.8619,0.983293,1,1,1
unknown_random,17070,0.11,1,249,10,34955,80238.3,0,0,-1,1
unknown_hard,17070,0.11,1,250,10,62256,1067.33,3.40914e-199,0,-1,1
known_hard,17070,0.11,2,250,10,17070,24.8956,0.949816,1,1,1
unknown_random,17070,0.11,2,249,10,34955,79902.7,0,0,-1,1
unknown_hard,17070,0.11,2,250,10,62256,1102.98,1.11095e-206,0,-1,1
known_hard,17070,0.11,3,250,10,17070,23.6999,0.966275,1,1,1
unknown_random,17070,0.11,3,249,10,34955,80318.2,0,0,-1,1
unknown_hard,17070,0.11,3,250,10,62256,980.744,4.71597e-181,0,-1,1
known_hard,17070,0.11,4,250,10,17070,39.0904,0.420627,1,1,1
unknown_random,17070,0.11,4,249,10,34955,79121.9,0,0,-1,1
