sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,1,0,0,1.12553e+10,58655,1,1,1,1,1
0,2,1,0,0,1.12553e+10,58655,1,1,1,1,1
0,3,1,0,0,1.12553e+10,58655,1,1,1,1,1
0.1,1,1,0.480131,0.480131,1.12481e+06,58655,1,1,1,1,1
0.1,2,1,0.660604,0.660604,1.12426e+06,58655,1,1,1,1,1
0.1,3,1,5.23215,5.23215,1.12811e+06,58655,1,1,1,1,1
0.5,1,1,7.18026,7.18026,45072.2,58655,1,1,1,1,1
0.5,2,1,2.90874,2.90874,44759.8,58655,1,1,1,1,1
0.5,3,1,2.84015,2.84015,44735.8,58655,1,1,1,1,1
1,1,1,1.69061,1.69061,11455.7,58655,1,1,1,1,1
1,2,1,2.75304,2.75304,11410.5,58655,1,1,1,1,1
1,3,1,10.4363,10.4363,11876.1,58655,1,1,1,1,1
2,1,1,3.02027,3.02027,2883.54,58655,1,1,1,1,1
2,2,1,1.05255,1.05255,2763.21,58655,1,1,1,1,1
2,3,1,4.40156,4.40156,2810.83,58655,1,1,1,1,1
