scenario,target_norad,sigma_deg,trial,catalog_size,observation_count,best_norad,best_chi2,best_fit_p_value,best_catalog_match,target_rank,correct_decision
known_hard,17070,0,1,250,10,17070,0,1,1,1,1
unknown_random,17070,0,1,249,10,34955,4.87226e+08,0,0,-1,1
unknown_hard,17070,0,1,250,10,43001,9.40673e+07,0,0,-1,1
known_hard,17070,0,2,250,10,17070,0,1,1,1,1
unknown_random,17070,0,2,249,10,34955,4.87226e+08,0,0,-1,1
unknown_hard,17070,0,2,250,10,43001,9.40673e+07,0,0,-1,1
known_hard,17070,0,3,250,10,17070,0,1,1,1,1
unknown_random,17070,0,3,249,10,34955,4.87226e+08,0,0,-1,1
unknown_hard,17070,0,3,250,10,43001,9.40673e+07,0,0,-1,1
known_hard,17070,0,4,250,10,17070,0,1,1,1,1
unknown_random,17070,0,4,249,10,34955,4.87226e+08,0,0,-1,1
unknown_hard,17070,0,4,250,10,43001,9.40673e+07,0,0,-1,1
known_hard,17070,0,5,250,10,17070,0,1,1,1,1
unknown_random,17070,0,5,249,10,34955,4.87226e+08,0,0,-1,1
unknown_hard,17070,0,5,250,10,43001,9.40673e+07,0,0,-1,1
known_hard,17070,0.05,1,250,10,17070,25.2302,0.944334,1,1,1
unknown_random,17070,0.05,1,249,10,34955,195921,0,0,-1,1
unknown_hard,17070,0.05,1,250,10,43001,38086.5,0,0,-1,1
known_hard,17070,0.05,2,250,10,17070,26.3702,0.922556,1,1,1
unknown_random,17070,0.05,2,249,10,34955,194724,0,0,-1,1
unknown_hard,17070,0.05,2,250,10,43001,37530.5,0,0,-1,1
known_hard,17070,0.05,3,250,10,17070,22.2864,0.98014,1,1,1
unknown_random,17070,0.05,3,249,10,33823,192821,0,0,-1,1
unknown_hard,17070,0.05,3,250,10,43001,37644.3,0,0,-1,1
known_hard,17070,0.05,4,250,10,17070,20.9813,0.988585,1,1,1
unknown_random,17070,0.05,4,249,10,33823,195291,0,0,-1,1
unknown_hard,17070,0.05,4,250,10,43001,38524.5,0,0,-1,1
known_hard,17070,0.05,5,250,10,17070,39.4872,0.403328,1,1,1
unknown_random,17070,0.05,5,249,10,34955,195852,0,0,-1,1
unknown_hard,17070,0.05,5,250,10,43001,38598.5,0,0,-1,1
known_hard,17070,0.1,1,250,10,17070,31.4697,0.763981,1,1,1
unknown_random,17070,0.1,1,249,10,34955,48666.6,0,0,-1,1
unknown_hard,17070,0.1,1,250,10,43001,9744.51,0,0,-1,1
known_hard,17070,0.1,2,250,10,17070,23.0043,0.973788,1,1,1
unknown_random,17070,0.1,2,249,10,34955,48226.9,0,0,-1,1
unknown_hard,17070,0.1,2,250,10,43001,9917.06,0,0,-1,1
known_hard,17070,0.1,3,250,10,17070,30.4343,0.803809,1,1,1
unknown_random,17070,0.1,3,249,10,34955,48704.6,0,0,-1,1
unknown_hard,17070,0.1,3,250,10,43001,9208,0,0,-1,1
known_hard,17070,0.1,4,250,10,17070,24.256,0.959208,1,1,1
unknown_random,17070,0.1,4,249,10,34955,47914.6,0,0,-1,1
unknown_hard,17070,0.1,4,250,10,43001,9031.18,0,0,-1,1
known_hard,17070,0.1,5,250,10,17070,37.2277,0.504986,1,1,1
unknown_random,17070,0.1,5,249,10,34955,48341.7,0,0,-1,1
unknown_hard,17070,0.1,5,250,10,43001,9344.48,0,0,-1,1
known_hard,17070,0.25,1,250,10,17070,21.5331,0.985456,1,1,1
unknown_random,17070,0.25,1,249,10,33823,7708.66,0,0,-1,1
unknown_hard,17070,0.25,1,250,10,43001,1456.79,2.45584e-281,0,-1,1
known_hard,17070,0.25,2,250,10,17070,39.5559,0.400362,1,1,1
unknown_random,17070,0.25,2,249,10,33823,8144.03,0,0,-1,1
unknown_hard,17070,0.25,2,250,10,43001,1513,3.01538e-293,0,-1,1
known_hard,17070,0.25,3,250,10,17070,28.947,0.854629,1,1,1
unknown_random,17070,0.25,3,249,10,33823,8000.52,0,0,-1,1
unknown_hard,17070,0.25,3,250,10,43001,1569.64,2.92961e-305,0,-1,1
known_hard,17070,0.25,4,250,10,17070,21.7384,0.984133,1,1,1
