sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,1,2.24797e-06,2.24797e-06,6.69568e+08,17070,1,1,1,1,1
0,2,1,2.24797e-06,2.24797e-06,6.69568e+08,17070,1,1,1,1,1
0,3,1,2.24797e-06,2.24797e-06,6.69568e+08,17070,1,1,1,1,1
0.1,1,1,0.480138,0.480138,66821.6,17070,1,1,1,1,1
0.1,2,1,0.660596,0.660596,66641.7,17070,1,1,1,1,1
0.1,3,1,5.23212,5.23212,67510.8,17070,1,1,1,1,1
0.5,1,1,7.18026,7.18026,2711.51,17070,1,1,1,1,1
0.5,2,1,2.90875,2.90875,2600.08,17070,1,1,1,1,1
0.5,3,1,2.84015,2.84015,2619.09,17070,1,1,1,1,1
1,1,1,1.69061,1.69061,722.243,17070,1,1,1,1,1
1,2,1,2.75304,2.75304,706.39,17070,1,1,1,1,1
1,3,1,10.4363,10.4363,805.166,17070,1,1,1,1,1
2,1,1,3.02027,3.02027,186.436,17070,1,1,1,1,1
2,2,1,1.05255,1.05255,159.411,17070,1,1,1,1,1
2,3,1,4.40156,4.40156,171.22,17070,1,1,1,1,1
