scenario,target_norad,sigma_deg,trial,catalog_size,observation_count,best_norad,best_chi2,best_fit_p_value,best_catalog_match,target_rank,correct_decision
known_hard,68837,0,1,26,3,68689,0,1,1,2,1
unknown_random,68837,0,1,25,3,68689,0,1,1,-1,0
unknown_hard,68837,0,1,25,3,68689,0,1,1,-1,0
known_hard,68837,0,2,26,3,68689,0,1,1,2,1
unknown_random,68837,0,2,25,3,68689,0,1,1,-1,0
unknown_hard,68837,0,2,25,3,68689,0,1,1,-1,0
known_hard,68837,0,3,26,3,68689,0,1,1,2,1
unknown_random,68837,0,3,25,3,68689,0,1,1,-1,0
unknown_hard,68837,0,3,25,3,68689,0,1,1,-1,0
known_hard,68837,0,4,26,3,68689,0,1,1,2,1
unknown_random,68837,0,4,25,3,68689,0,1,1,-1,0
unknown_hard,68837,0,4,25,3,68689,0,1,1,-1,0
known_hard,68837,0,5,26,3,68689,0,1,1,2,1
unknown_random,68837,0,5,25,3,68689,0,1,1,-1,0
unknown_hard,68837,0,5,25,3,68689,0,1,1,-1,0
known_hard,68837,0.05,1,26,3,68689,6.81342,0.338447,1,2,1
unknown_random,68837,0.05,1,25,3,68689,9.21375,0.161909,1,-1,0
unknown_hard,68837,0.05,1,25,3,68689,5.02277,0.540896,1,-1,0
known_hard,68837,0.05,2,26,3,68689,7.732,0.258402,1,2,1
unknown_random,68837,0.05,2,25,3,49044,2.31854,0.888198,1,-1,0
unknown_hard,68837,0.05,2,25,3,66664,9.73348,0.136334,1,-1,0
known_hard,68837,0.05,3,26,3,66664,1.6529,0.948699,1,8,1
unknown_random,68837,0.05,3,25,3,68689,10.2491,0.114546,1,-1,0
unknown_hard,68837,0.05,3,25,3,68689,5.8397,0.441385,1,-1,0
known_hard,68837,0.05,4,26,3,68689,2.49127,0.869443,1,2,1
unknown_random,68837,0.05,4,25,3,68689,6.518,0.367727,1,-1,0
unknown_hard,68837,0.05,4,25,3,66664,10.774,0.0956163,1,-1,0
known_hard,68837,0.05,5,26,3,66664,5.88908,0.43573,1,8,1
unknown_random,68837,0.05,5,25,3,49044,5.57277,0.472705,1,-1,0
unknown_hard,68837,0.05,5,25,3,68689,8.92101,0.178069,1,-1,0
known_hard,68837,0.1,1,26,3,66664,5.77895,0.448403,1,8,1
unknown_random,68837,0.1,1,25,3,68689,5.98277,0.425123,1,-1,0
unknown_hard,68837,0.1,1,25,3,68689,3.99744,0.677023,1,-1,0
known_hard,68837,0.1,2,26,3,66664,9.0642,0.17,1,8,1
unknown_random,68837,0.1,2,25,3,49044,4.57772,0.598995,1,-1,0
unknown_hard,68837,0.1,2,25,3,68689,15.1298,0.0192705,1,-1,0
