sigma_deg,trial,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
0,1,1,0,0,8.32784e+08,58655,1,1,1,1,1
0,2,1,0,0,8.32784e+08,58655,1,1,1,1,1
0,3,1,0,0,8.32784e+08,58655,1,1,1,1,1
0,4,1,0,0,8.32784e+08,58655,1,1,1,1,1
0,5,1,0,0,8.32784e+08,58655,1,1,1,1,1
0,6,1,0,0,8.32784e+08,58655,1,1,1,1,1
0,7,1,0,0,8.32784e+08,58655,1,1,1,1,1
0,8,1,0,0,8.32784e+08,58655,1,1,1,1,1
0,9,1,0,0,8.32784e+08,58655,1,1,1,1,1
0,10,1,0,0,8.32784e+08,58655,1,1,1,1,1
0.05,1,1,27.4391,27.4391,333754,58655,1,1,1,1,1
0.05,2,1,19.8696,19.8696,335510,58655,1,1,1,1,1
0.05,3,1,22.5464,22.5464,333508,58655,1,1,1,1,1
0.05,4,1,28.9918,28.9918,330054,58655,1,1,1,1,1
0.05,5,1,16.0139,16.0139,334123,58655,1,1,1,1,1
0.05,6,1,28.2025,28.2025,333429,58655,1,1,1,1,1
0.05,7,1,36.6141,36.6141,334487,58655,1,1,1,1,1
0.05,8,1,18.5726,18.5726,332890,58655,1,1,1,1,1
0.05,9,1,23.5545,23.5545,333248,58655,1,1,1,1,1
0.05,10,1,15.6615,15.6615,333995,58655,1,1,1,1,1
0.1,1,1,23.5765,23.5765,82553,58655,1,1,1,1,1
0.1,2,1,12.0226,12.0226,83059.3,58655,1,1,1,1,1
0.1,3,1,24.3739,24.3739,82757.4,58655,1,1,1,1,1
0.1,4,1,26.7478,26.7478,84497.1,58655,1,1,1,1,1
0.1,5,1,18,18,84206,58655,1,1,1,1,1
0.1,6,1,15.3645,15.3645,83753.5,58655,1,1,1,1,1
0.1,7,1,30.5161,30.5161,83269.3,58655,1,1,1,1,1
0.1,8,1,17.3305,17.3305,82972.5,58655,1,1,1,1,1
0.1,9,1,19.2032,19.2032,83019.9,58655,1,1,1,1,1
0.1,10,1,28.1668,28.1668,82975.3,58655,1,1,1,1,1
0.2,1,1,27.6913,27.6913,20570,58655,1,1,1,1,1
0.2,2,1,25.2795,25.2795,20437.1,58655,1,1,1,1,1
0.2,3,1,14.2738,14.2738,21132.7,58655,1,1,1,1,1
0.2,4,1,24.1172,24.1172,21094.2,58655,1,1,1,1,1
0.2,5,1,33.7929,33.7929,20796.7,58655,1,1,1,1,1
0.2,6,1,19.1945,19.1945,20627,58655,1,1,1,1,1
0.2,7,1,12.1935,12.1935,20622.3,58655,1,1,1,1,1
0.2,8,1,33.0047,33.0047,20573.7,58655,1,1,1,1,1
0.2,9,1,20.4731,20.4731,20745.4,58655,1,1,1,1,1
0.2,10,1,30.3533,30.3533,20918.2,58655,1,1,1,1,1
0.5,1,1,14.4302,14.4302,3372.62,58655,1,1,1,1,1
0.5,2,1,34.5463,34.5463,3208.72,58655,1,1,1,1,1
0.5,3,1,26.0907,26.0907,3224.08,58655,1,1,1,1,1
0.5,4,1,17.4554,17.4554,3343.94,58655,1,1,1,1,1
0.5,5,1,34.9229,34.9229,3339.07,58655,1,1,1,1,1
0.5,6,1,14.5511,14.5511,3340.66,58655,1,1,1,1,1
0.5,7,1,16.5383,16.5383,3321.2,58655,1,1,1,1,1
0.5,8,1,12.2931,12.2931,3338.54,58655,1,1,1,1,1
0.5,9,1,31.7715,31.7715,3078.11,58655,1,1,1,1,1
0.5,10,1,19.173,19.173,3333.21,58655,1,1,1,1,1
1,1,1,25.6162,25.6162,747.558,58655,1,1,1,1,1
1,2,1,24.0642,24.0642,867.992,58655,1,1,1,1,1
1,3,1,28.4265,28.4265,688.162,58655,1,1,1,1,1
1,4,1,30.2467,30.2467,856.399,58655,1,1,1,1,1
1,5,1,26.7677,26.7677,898.722,58655,1,1,1,1,1
1,6,1,21.5599,21.5599,832.457,58655,1,1,1,1,1
1,7,1,11.5651,11.5651,820.411,58655,1,1,1,1,1
1,8,1,18.7469,18.7469,888.655,58655,1,1,1,1,1
1,9,1,31.892,31.892,816.617,58655,1,1,1,1,1
1,10,1,29.2998,29.2998,722.844,58655,1,1,1,1,1
2,1,1,15.6137,15.6137,186.624,58655,1,1,1,1,1
2,2,1,12.8345,12.8345,225.66,58655,1,1,1,1,1
2,3,1,23.3647,23.3647,176.91,58655,1,1,1,1,1
2,4,1,26.606,26.606,218.904,58655,1,1,1,1,1
2,5,1,16.3106,16.3106,176.806,58655,1,1,1,1,1
2,6,1,31.0244,31.0244,229.503,58655,1,1,1,1,1
2,7,1,10.1239,10.1239,230.997,58655,1,1,1,1,1
2,8,1,22.8125,22.8125,243.909,58655,1,1,1,1,1
2,9,1,27.4012,27.4012,242.178,58655,1,1,1,1,1
2,10,1,16.7705,16.7705,212.823,58655,1,1,1,1,1
