catalog_size,repeat,observations,runtime_us,runtime_ms
10,1,10,603,0.603
10,2,10,630,0.63
10,3,10,567,0.567
10,4,10,2177,2.177
10,5,10,546,0.546
25,1,10,3414932,3414.93
25,2,10,3428191,3428.19
25,3,10,3417479,3417.48
25,4,10,3395181,3395.18
25,5,10,3403591,3403.59
50,1,10,5596656,5596.66
50,2,10,5693241,5693.24
50,3,10,5687360,5687.36
50,4,10,5791077,5791.08
50,5,10,5688677,5688.68
100,1,10,12465677,12465.7
100,2,10,12513988,12514
100,3,10,12506148,12506.1
100,4,10,12505042,12505
100,5,10,12657472,12657.5
194,1,10,27539282,27539.3
194,2,10,27116873,27116.9
194,3,10,26955465,26955.5
194,4,10,27302830,27302.8
194,5,10,29334227,29334.2
