target_norad,catalog_mode,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,equivalent_best,ambiguous_best_count
17070,prefix,250,0,1,10,1,0,0,4.87226e+08,17070,1,1,1,1,1
17070,prefix,250,0,2,10,1,0,0,4.87226e+08,17070,1,1,1,1,1
17070,prefix,250,0,3,10,1,0,0,4.87226e+08,17070,1,1,1,1,1
17070,prefix,250,0,4,10,1,0,0,4.87226e+08,17070,1,1,1,1,1
17070,prefix,250,0,5,10,1,0,0,4.87226e+08,17070,1,1,1,1,1
17070,prefix,250,0.05,1,10,1,36.3588,36.3588,195890,17070,1,1,1,1,1
17070,prefix,250,0.05,2,10,1,48.8787,48.8787,193256,17070,1,1,1,1,1
17070,prefix,250,0.05,3,10,1,52.6079,52.6079,194448,17070,1,1,1,1,1
17070,prefix,250,0.05,4,10,1,32.7088,32.7088,195331,17070,1,1,1,1,1
17070,prefix,250,0.05,5,10,1,41.4433,41.4433,195005,17070,1,1,1,1,1
17070,prefix,250,0.1,1,10,1,55.2171,55.2171,49180.5,17070,1,1,1,1,1
17070,prefix,250,0.1,2,10,1,30.6624,30.6624,48809.9,17070,1,1,1,1,1
17070,prefix,250,0.1,3,10,1,46.5406,46.5406,49740.2,17070,1,1,1,1,1
17070,prefix,250,0.1,4,10,1,50.6424,50.6424,48709,17070,1,1,1,1,1
17070,prefix,250,0.1,5,10,1,24.4717,24.4717,48577.5,17070,1,1,1,1,1
17070,prefix,250,0.25,1,10,1,65.9248,65.9248,7485.22,17070,1,1,1,1,1
17070,prefix,250,0.25,2,10,1,82.4581,82.4581,7723.71,17070,1,1,1,1,1
17070,prefix,250,0.25,3,10,1,34.2101,34.2101,7857.04,17070,1,1,1,1,1
17070,prefix,250,0.25,4,10,1,43.9745,43.9745,7940.4,17070,1,1,1,1,1
17070,prefix,250,0.25,5,10,1,24.2681,24.2681,8014.12,17070,1,1,1,1,1
17070,prefix,250,0.5,1,10,1,45.0692,45.0692,2045.28,17070,1,1,1,1,1
17070,prefix,250,0.5,2,10,1,21.1246,21.1246,1910.34,17070,1,1,1,1,1
17070,prefix,250,0.5,3,10,1,46.9236,46.9236,1782.29,17070,1,1,1,1,1
17070,prefix,250,0.5,4,10,1,32.5888,32.5888,1687.13,17070,1,1,1,1,1
17070,prefix,250,0.5,5,10,1,34.3949,34.3949,1923.69,17070,1,1,1,1,1
17070,prefix,250,1,1,10,1,24.1384,24.1384,447.119,17070,1,1,1,1,1
17070,prefix,250,1,2,10,1,55.3168,55.3168,414.284,17070,1,1,1,1,1
17070,prefix,250,1,3,10,1,29.5099,29.5099,448.485,17070,1,1,1,1,1
17070,prefix,250,1,4,10,1,38.5801,38.5801,518.772,17070,1,1,1,1,1
17070,prefix,250,1,5,10,1,58.864,58.864,467.015,17070,1,1,1,1,1
17070,prefix,250,1.5,1,10,1,52.7796,52.7796,202.373,17070,1,1,1,1,1
17070,prefix,250,1.5,2,10,1,43.7639,43.7639,163.17,17070,1,1,1,1,1
17070,prefix,250,1.5,3,10,1,25.8147,25.8147,203.514,17070,1,1,1,1,1
17070,prefix,250,1.5,4,10,1,44.172,44.172,270.259,17070,1,1,1,1,1
17070,prefix,250,1.5,5,10,1,64.7591,64.7591,198.847,17070,1,1,1,1,1
17070,prefix,250,2,1,10,1,36.5875,36.5875,108.205,17070,1,1,1,1,1
17070,prefix,250,2,2,10,1,22.6203,22.6203,97.4122,17070,1,1,1,1,1
17070,prefix,250,2,3,10,1,65.0439,65.0439,110.321,17070,1,1,1,1,1
17070,prefix,250,2,4,10,1,36.7279,36.7279,100.055,17070,1,1,1,1,1
17070,prefix,250,2,5,10,1,63.1681,63.1681,73.4826,17070,1,1,1,1,1
17070,hard,250,0,1,10,1,0,0,9.40673e+07,17070,1,1,1,1,1
17070,hard,250,0,2,10,1,0,0,9.40673e+07,17070,1,1,1,1,1
17070,hard,250,0,3,10,1,0,0,9.40673e+07,17070,1,1,1,1,1
17070,hard,250,0,4,10,1,0,0,9.40673e+07,17070,1,1,1,1,1
17070,hard,250,0,5,10,1,0,0,9.40673e+07,17070,1,1,1,1,1
17070,hard,250,0.05,1,10,1,27.3292,27.3292,37174.2,17070,1,1,1,1,1
17070,hard,250,0.05,2,10,1,27.072,27.072,38484.4,17070,1,1,1,1,1
17070,hard,250,0.05,3,10,1,22.7086,22.7086,37403.7,17070,1,1,1,1,1
17070,hard,250,0.05,4,10,1,63.3366,63.3366,36908.5,17070,1,1,1,1,1
17070,hard,250,0.05,5,10,1,33.3214,33.3214,37013.5,17070,1,1,1,1,1
17070,hard,250,0.1,1,10,1,46.8513,46.8513,9622.47,17070,1,1,1,1,1
17070,hard,250,0.1,2,10,1,47.6138,47.6138,9220.42,17070,1,1,1,1,1
17070,hard,250,0.1,3,10,1,40.0823,40.0823,9574.45,17070,1,1,1,1,1
17070,hard,250,0.1,4,10,1,58.3385,58.3385,9663.52,17070,1,1,1,1,1
17070,hard,250,0.1,5,10,1,58.0717,58.0717,9249.41,17070,1,1,1,1,1
17070,hard,250,0.25,1,10,1,45.535,45.535,1481.85,17070,1,1,1,1,1
17070,hard,250,0.25,2,10,1,20.0927,20.0927,1637.76,17070,1,1,1,1,1
17070,hard,250,0.25,3,10,1,34.337,34.337,1453.06,17070,1,1,1,1,1
17070,hard,250,0.25,4,10,1,67.2914,67.2914,1324.28,17070,1,1,1,1,1
17070,hard,250,0.25,5,10,1,52.7866,52.7866,1566.98,17070,1,1,1,1,1
17070,hard,250,0.5,1,10,1,30.9132,30.9132,401.781,17070,1,1,1,1,1
17070,hard,250,0.5,2,10,1,26.7033,26.7033,390.409,17070,1,1,1,1,1
17070,hard,250,0.5,3,10,1,44.0756,44.0756,453.372,17070,1,1,1,1,1
17070,hard,250,0.5,4,10,1,48.3195,48.3195,390.063,17070,1,1,1,1,1
17070,hard,250,0.5,5,10,1,30.289,30.289,387.055,17070,1,1,1,1,1
17070,hard,250,1,1,10,1,55.0953,55.0953,135.019,17070,1,1,1,1,1
17070,hard,250,1,2,10,1,19.7142,19.7142,98.5852,17070,1,1,1,1,1
17070,hard,250,1,3,10,1,50.0529,50.0529,102.181,17070,1,1,1,1,1
17070,hard,250,1,4,10,1,44.366,44.366,77.3876,17070,1,1,1,1,1
17070,hard,250,1,5,10,1,28.6085,28.6085,93.9236,17070,1,1,1,1,1
17070,hard,250,1.5,1,10,1,27.3025,27.3025,41.0194,17070,1,1,1,1,1
17070,hard,250,1.5,2,10,1,37.9317,37.9317,57.1695,17070,1,1,1,1,1
17070,hard,250,1.5,3,10,1,33.3569,33.3569,50.4792,17070,1,1,1,1,1
17070,hard,250,1.5,4,10,1,32.3478,32.3478,23.7456,17070,1,1,1,1,1
17070,hard,250,1.5,5,10,1,29.0996,29.0996,43.5616,17070,1,1,1,1,1
17070,hard,250,2,1,10,1,42.7523,42.7523,17.4505,17070,1,1,1,1,1
17070,hard,250,2,2,10,1,38.7454,38.7454,33.1126,17070,1,1,1,1,1
17070,hard,250,2,3,10,1,31.7002,31.7002,33.2087,17070,1,1,1,1,1
17070,hard,250,2,4,10,1,40.0169,40.0169,5.97693,17070,1,1,1,1,1
17070,hard,250,2,5,10,1,30.6789,30.6789,30.3784,17070,1,1,1,1,1
30232,prefix,250,0,1,10,1,0,0,6.45345e+08,30232,1,1,1,1,1
30232,prefix,250,0,2,10,1,0,0,6.45345e+08,30232,1,1,1,1,1
30232,prefix,250,0,3,10,1,0,0,6.45345e+08,30232,1,1,1,1,1
30232,prefix,250,0,4,10,1,0,0,6.45345e+08,30232,1,1,1,1,1
30232,prefix,250,0,5,10,1,0,0,6.45345e+08,30232,1,1,1,1,1
30232,prefix,250,0.05,1,10,1,25.3414,25.3414,258888,30232,1,1,1,1,1
30232,prefix,250,0.05,2,10,1,27.121,27.121,257958,30232,1,1,1,1,1
30232,prefix,250,0.05,3,10,1,39.7148,39.7148,259428,30232,1,1,1,1,1
30232,prefix,250,0.05,4,10,1,35.6254,35.6254,258391,30232,1,1,1,1,1
30232,prefix,250,0.05,5,10,1,30.4125,30.4125,258540,30232,1,1,1,1,1
30232,prefix,250,0.1,1,10,1,65.2318,65.2318,64458.7,30232,1,1,1,1,1
30232,prefix,250,0.1,2,10,1,18.5322,18.5322,64400.3,30232,1,1,1,1,1
30232,prefix,250,0.1,3,10,1,43.4287,43.4287,65455.7,30232,1,1,1,1,1
30232,prefix,250,0.1,4,10,1,30.146,30.146,65128.2,30232,1,1,1,1,1
30232,prefix,250,0.1,5,10,1,44.1988,44.1988,63989.2,30232,1,1,1,1,1
30232,prefix,250,0.25,1,10,1,30.7273,30.7273,10307,30232,1,1,1,1,1
30232,prefix,250,0.25,2,10,1,25.8147,25.8147,10323,30232,1,1,1,1,1
30232,prefix,250,0.25,3,10,1,27.8562,27.8562,10406.9,30232,1,1,1,1,1
30232,prefix,250,0.25,4,10,1,50.59,50.59,10497.8,30232,1,1,1,1,1
30232,prefix,250,0.25,5,10,1,53.476,53.476,10201.5,30232,1,1,1,1,1
30232,prefix,250,0.5,1,10,1,34.0722,34.0722,2641.72,30232,1,1,1,1,1
30232,prefix,250,0.5,2,10,1,33.8451,33.8451,2591.81,30232,1,1,1,1,1
30232,prefix,250,0.5,3,10,1,23.0522,23.0522,2402.04,30232,1,1,1,1,1
30232,prefix,250,0.5,4,10,1,30.692,30.692,2464.41,30232,1,1,1,1,1
30232,prefix,250,0.5,5,10,1,29.5752,29.5752,2502.18,30232,1,1,1,1,1
