orbit_type,target_norad,target_name,mean_motion_rev_day,inclination_deg,eccentricity,catalog_size,sigma_deg,trial,observation_count,target_rank,target_chi2,best_chi2,best_fit_p_value,best_gap_chi2,top1_norad,top1_correct,top3_contains_target,top10_contains_target,runtime_us,runtime_ms
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,1,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,20533,20.533
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,2,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,1212,1.212
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,3,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,1191,1.191
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,4,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,1143,1.143
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0,5,10,1,9.14921e-05,9.14921e-05,1,3.50873e+07,39471,1,1,1,1167,1.167
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.01,1,10,1,40.3892,40.3892,0.365161,351904,39471,1,1,1,1141,1.141
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.01,2,10,1,41.411,41.411,0.324139,349198,39471,1,1,1,1182,1.182
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.01,3,10,1,25.3572,25.3572,0.942149,350209,39471,1,1,1,1387,1.387
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.01,4,10,1,35.1739,35.1739,0.600843,349973,39471,1,1,1,1251,1.251
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.01,5,10,1,20.2315,20.2315,0.991954,351715,39471,1,1,1,1164,1.164
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.02,1,10,1,26.8314,26.8314,0.912326,87795,39471,1,1,1,1218,1.218
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.02,2,10,1,34.4513,34.4513,0.634312,87968.5,39471,1,1,1,1339,1.339
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.02,3,10,1,49.7345,49.7345,0.0963096,88013.4,39471,1,1,1,1192,1.192
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.02,4,10,1,22.622,22.622,0.977338,87680.1,39471,1,1,1,1208,1.208
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.02,5,10,1,51.6084,51.6084,0.0693757,88171.7,39471,1,1,1,1165,1.165
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.03,1,10,1,42.3078,42.3078,0.290308,38345.1,39471,1,1,1,1151,1.151
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.03,2,10,1,95.7675,95.7675,6.89054e-07,38256.1,39471,1,1,1,1149,1.149
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.03,3,10,1,27.6465,27.6465,0.892195,38851.5,39471,1,1,1,1163,1.163
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.03,4,10,1,39.9702,39.9702,0.382681,38612.3,39471,1,1,1,1143,1.143
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.03,5,10,1,20.9827,20.9827,0.988578,39505.6,39471,1,1,1,1270,1.27
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.04,1,10,1,33.718,33.718,0.667724,21771.2,39471,1,1,1,1208,1.208
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.04,2,10,1,48.6059,48.6059,0.116277,22465,39471,1,1,1,1249,1.249
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.04,3,10,1,17.6096,17.6096,0.998086,21904,39471,1,1,1,1234,1.234
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.04,4,10,1,56.7044,56.7044,0.0259993,21851.2,39471,1,1,1,1179,1.179
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.04,5,10,1,27.3561,27.3561,0.899669,21870.3,39471,1,1,1,1143,1.143
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,1,10,1,37.9266,37.9266,0.472832,13763.3,39471,1,1,1,1147,1.147
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,2,10,1,22.1692,22.1692,0.981053,14195.8,39471,1,1,1,1143,1.143
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,3,10,1,49.558,49.558,0.099235,14059.4,39471,1,1,1,1150,1.15
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,4,10,1,19.9568,19.9568,0.992966,14217.2,39471,1,1,1,1154,1.154
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.05,5,10,1,33.0661,33.0661,0.696748,14023.1,39471,1,1,1,1177,1.177
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.06,1,10,1,43.0789,43.0789,0.262964,9569.68,39471,1,1,1,1149,1.149
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.06,2,10,1,32.2839,32.2839,0.730463,10062.5,39471,1,1,1,1158,1.158
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.06,3,10,1,34.8818,34.8818,0.61442,9800.79,39471,1,1,1,1337,1.337
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.06,4,10,1,24.7789,24.7789,0.951635,9600.33,39471,1,1,1,1236,1.236
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.06,5,10,1,38.3504,38.3504,0.453598,9511.38,39471,1,1,1,1241,1.241
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.07,1,10,1,30.5659,30.5659,0.798939,7099.61,39471,1,1,1,1173,1.173
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.07,2,10,1,46.9879,46.9879,0.150448,7481.76,39471,1,1,1,1176,1.176
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.07,3,10,1,32.5221,32.5221,0.72034,6933.15,39471,1,1,1,1197,1.197
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.07,4,10,1,32.5612,32.5612,0.718668,7158.33,39471,1,1,1,1175,1.175
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.07,5,10,1,21.7327,21.7327,0.984171,7092.17,39471,1,1,1,1138,1.138
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.08,1,10,1,54.1621,54.1621,0.0430961,5449.69,39471,1,1,1,1159,1.159
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.08,2,10,1,53.1988,53.1988,0.0517722,5603.8,39471,1,1,1,1156,1.156
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.08,3,10,1,34.4498,34.4498,0.63438,5540.55,39471,1,1,1,1127,1.127
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.08,4,10,1,26.8588,26.8588,0.911691,5546.25,39471,1,1,1,1139,1.139
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.08,5,10,1,41.4905,41.4905,0.321058,5714.73,39471,1,1,1,1290,1.29
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.09,1,10,1,27.726,27.726,0.890089,4469.56,39471,1,1,1,1316,1.316
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.09,2,10,1,34.3768,34.3768,0.637738,4184.45,39471,1,1,1,1199,1.199
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.09,3,10,1,40.5158,40.5158,0.359946,4377.11,39471,1,1,1,1166,1.166
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.09,4,10,1,39.9668,39.9668,0.382823,4426.48,39471,1,1,1,1148,1.148
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.09,5,10,1,26.9572,26.9572,0.90939,4240.48,39471,1,1,1,1162,1.162
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,1,10,1,22.3198,22.3198,0.979874,3661.55,39471,1,1,1,1142,1.142
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,2,10,1,30.5785,30.5785,0.798467,3489.07,39471,1,1,1,1136,1.136
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,3,10,1,25.6968,25.6968,0.93601,3557.68,39471,1,1,1,1142,1.142
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,4,10,1,43.7826,43.7826,0.239468,3528.56,39471,1,1,1,1179,1.179
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.1,5,10,1,22.5808,22.5808,0.977698,3518.08,39471,1,1,1,1170,1.17
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.11,1,10,1,21.1033,21.1033,0.987944,2824.37,39471,1,1,1,1156,1.156
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.11,2,10,1,53.2144,53.2144,0.0516204,3124.69,39471,1,1,1,1200,1.2
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.11,3,10,1,44.8663,44.8663,0.206078,3213.75,39471,1,1,1,1808,1.808
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.11,4,10,1,57.1707,57.1707,0.0236212,2962.44,39471,1,1,1,1205,1.205
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.11,5,10,1,30.6492,30.6492,0.795823,3031.92,39471,1,1,1,1150,1.15
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.12,1,10,1,33.514,33.514,0.676884,2289.72,39471,1,1,1,1151,1.151
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.12,2,10,1,29.3722,29.3722,0.840927,2506.7,39471,1,1,1,1135,1.135
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.12,3,10,1,54.5009,54.5009,0.0403601,2435.41,39471,1,1,1,1165,1.165
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.12,4,10,1,25.6697,25.6697,0.936517,2442.16,39471,1,1,1,1143,1.143
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.12,5,10,1,36.4244,36.4244,0.542391,2412.74,39471,1,1,1,1141,1.141
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.13,1,10,1,25.9123,25.9123,0.931893,2167.16,39471,1,1,1,1188,1.188
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.13,2,10,1,66.6345,66.6345,0.0027766,2123.8,39471,1,1,1,1152,1.152
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.13,3,10,1,57.0955,57.0955,0.0239913,2025.58,39471,1,1,1,1143,1.143
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.13,4,10,1,31.1966,31.1966,0.774807,1997.11,39471,1,1,1,1141,1.141
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.13,5,10,1,50.1073,50.1073,0.0903606,1988.56,39471,1,1,1,1352,1.352
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.14,1,10,1,31.9417,31.9417,0.744766,1886.43,39471,1,1,1,1149,1.149
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.14,2,10,1,46.1115,46.1115,0.171886,1886.12,39471,1,1,1,1151,1.151
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.14,3,10,1,33.5506,33.5506,0.675245,1761.84,39471,1,1,1,1142,1.142
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.14,4,10,1,36.1254,36.1254,0.556378,1675.76,39471,1,1,1,1145,1.145
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.14,5,10,1,36.8772,36.8772,0.521265,1758.58,39471,1,1,1,1145,1.145
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.15,1,10,1,39.7916,39.7916,0.39026,1476.95,39471,1,1,1,1140,1.14
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.15,2,10,1,45.7071,45.7071,0.182507,1540.76,39471,1,1,1,1220,1.22
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.15,3,10,1,39.6397,39.6397,0.396761,1471.77,39471,1,1,1,1166,1.166
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.15,4,10,1,29.6642,29.6642,0.831127,1546.74,39471,1,1,1,1160,1.16
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.15,5,10,1,29.8533,29.8533,0.824615,1547.7,39471,1,1,1,1156,1.156
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.16,1,10,1,47.82,47.82,0.132024,1375.62,39471,1,1,1,1190,1.19
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.16,2,10,1,96.4186,96.4186,5.60057e-07,1285.08,39471,1,1,1,1209,1.209
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.16,3,10,1,46.721,46.721,0.156752,1330.94,39471,1,1,1,1279,1.279
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.16,4,10,1,13.5387,13.5387,0.999915,1380.2,39471,1,1,1,1155,1.155
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.16,5,10,1,14.6357,14.6357,0.999775,1468.51,39471,1,1,1,1136,1.136
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.17,1,10,1,17.0409,17.0409,0.998667,1156.73,39471,1,1,1,1144,1.144
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.17,2,10,1,41.427,41.427,0.323517,1140.07,39471,1,1,1,1152,1.152
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.17,3,10,1,39.4877,39.4877,0.403309,1243.61,39471,1,1,1,1157,1.157
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.17,4,10,1,52.5842,52.5842,0.0580597,1204.48,39471,1,1,1,1196,1.196
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.17,5,10,1,47.9115,47.9115,0.130109,1200.89,39471,1,1,1,1207,1.207
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.18,1,10,1,41.0026,41.0026,0.340233,1136.05,39471,1,1,1,1155,1.155
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.18,2,10,1,24.7162,24.7162,0.952592,1081.65,39471,1,1,1,1133,1.133
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.18,3,10,1,42.2834,42.2834,0.291201,1165.52,39471,1,1,1,1143,1.143
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.18,4,10,1,44.5846,44.5846,0.214429,1185.22,39471,1,1,1,1155,1.155
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.18,5,10,1,37.383,37.383,0.497801,954.411,39471,1,1,1,1212,1.212
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.19,1,10,1,48.6121,48.6121,0.116159,941.971,39471,1,1,1,1268,1.268
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.19,2,10,1,16.5512,16.5512,0.99904,1037.39,39471,1,1,1,1197,1.197
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.19,3,10,1,54.2137,54.2137,0.0426686,961.677,39471,1,1,1,1188,1.188
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.19,4,10,1,33.5833,33.5833,0.673779,987.536,39471,1,1,1,1160,1.16
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.19,5,10,1,58.9811,58.9811,0.0161295,897.643,39471,1,1,1,1152,1.152
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.2,1,10,1,43.6358,43.6358,0.244252,881.567,39471,1,1,1,1269,1.269
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.2,2,10,1,26.4755,26.4755,0.920293,807.874,39471,1,1,1,1201,1.201
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.2,3,10,1,25.2351,25.2351,0.944251,844.274,39471,1,1,1,1396,1.396
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.2,4,10,1,45.4503,45.4503,0.18949,853.213,39471,1,1,1,1247,1.247
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.2,5,10,1,66.5877,66.5877,0.0028085,938.555,39471,1,1,1,1220,1.22
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.21,1,10,1,28.9204,28.9204,0.855465,769.393,39471,1,1,1,1206,1.206
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.21,2,10,1,57.4396,57.4396,0.0223402,815.144,39471,1,1,1,1320,1.32
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.21,3,10,1,39.8313,39.8313,0.388569,741.494,39471,1,1,1,1291,1.291
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.21,4,10,1,30.2132,30.2132,0.811864,754.532,39471,1,1,1,1188,1.188
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.21,5,10,1,38.2442,38.2442,0.458396,686.797,39471,1,1,1,1217,1.217
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.22,1,10,1,22.988,22.988,0.973947,724.435,39471,1,1,1,1199,1.199
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.22,2,10,1,41.3074,41.3074,0.328185,730.819,39471,1,1,1,1323,1.323
LEO,39471,"CP8 (IPEX)              ",15.0764,120.464,0.0159199,500,0.22,3,10,1,65.2511,65.2511,0.00387912,797.094,39471,1,1,1,1239,1.239
